Country,Year,Total,Predicted Emissions
United Kingdom,1800,26.633616,22.287556
United Kingdom,1801,26.71056,22.287556
United Kingdom,1802,26.849792,25.805668
United Kingdom,1803,30.19136,26.934671
United Kingdom,1804,30.330592,26.934671
United Kingdom,1805,31.462768,27.757887
United Kingdom,1806,33.2508,30.430439
United Kingdom,1807,33.258128,30.430439
United Kingdom,1808,33.26912,30.430439
United Kingdom,1809,33.280112,30.430439
United Kingdom,1810,33.291104,30.430439
United Kingdom,1811,35.562784,32.012016
United Kingdom,1812,36.936784,33.732746
United Kingdom,1813,37.376464,33.14276
United Kingdom,1814,38.08728,33.14276
United Kingdom,1815,38.922672,43.25042
United Kingdom,1816,41.436176,43.25042
United Kingdom,1817,41.923488,43.25042
United Kingdom,1818,42.022416,43.25042
United Kingdom,1819,42.33752,43.25042
United Kingdom,1820,42.528048,43.25042
United Kingdom,1821,42.872464,43.25042
United Kingdom,1822,44.521264,45.333786
United Kingdom,1823,46.873552,46.316875
United Kingdom,1824,49.082944,48.136604
United Kingdom,1825,49.59224,48.136604
United Kingdom,1826,50.145504,48.136604
United Kingdom,1827,52.23032,52.45893
United Kingdom,1828,52.589392,52.45893
United Kingdom,1829,53.336848,52.45893
United Kingdom,1830,67.864608,67.95512
United Kingdom,1831,65.765136,67.95512
United Kingdom,1832,65.589264,67.95512
United Kingdom,1833,65.494,67.95512
United Kingdom,1834,65.537968,67.95512
United Kingdom,1835,65.263168,67.95512
United Kingdom,1836,76.445696,86.09018
United Kingdom,1837,73.770976,82.90065
United Kingdom,1838,75.811824,82.90065
United Kingdom,1839,77.779392,86.09018
United Kingdom,1840,80.959744,86.09018
United Kingdom,1841,81.839104,88.77711
United Kingdom,1842,85.3712,88.77711
United Kingdom,1843,89.093824,91.808205
United Kingdom,1844,93.472304,100.815765
United Kingdom,1845,99.986896,100.815765
United Kingdom,1846,95.692688,100.815765
United Kingdom,1847,103.548304,97.13373
United Kingdom,1848,109.286128,112.4648
United Kingdom,1849,116.005904,108.70859
United Kingdom,1850,122.604768,108.70859
United Kingdom,1851,116.654432,108.70859
United Kingdom,1852,116.2404,108.70859
United Kingdom,1853,115.5992,108.70859
United Kingdom,1854,139.301616,125.74308
United Kingdom,1855,130.442064,116.909424
United Kingdom,1856,140.375168,125.74308
United Kingdom,1857,137.861664,125.74308
United Kingdom,1858,135.113664,125.74308
United Kingdom,1859,150.011488,130.88533
United Kingdom,1860,167.950432,166.98772
United Kingdom,1861,175.0476,166.98772
United Kingdom,1862,169.470992,162.87408
United Kingdom,1863,180.224832,167.22209
United Kingdom,1864,193.909872,184.8931
United Kingdom,1865,205.488112,186.02971
United Kingdom,1866,211.731568,186.02971
United Kingdom,1867,217.374128,214.68488
United Kingdom,1868,213.219152,186.84837
United Kingdom,1869,223.70552,217.69965
United Kingdom,1870,228.494368,217.69965
United Kingdom,1871,242.036512,219.09056
United Kingdom,1872,254.988752,248.64061
United Kingdom,1873,264.658048,251.47017
United Kingdom,1874,257.187152,250.2951
United Kingdom,1875,271.487744,250.2951
United Kingdom,1876,271.018752,253.79555
United Kingdom,1877,275.8992,255.12715
United Kingdom,1878,270.974784,255.12715
United Kingdom,1879,272.645568,255.12715
United Kingdom,1880,297.124752,290.72415
United Kingdom,1881,312.312032,290.72415
United Kingdom,1882,314.964768,290.72415
United Kingdom,1883,327.730144,327.93802
United Kingdom,1884,319.09776,323.69672
United Kingdom,1885,315.290864,289.84283
United Kingdom,1886,312.42928,290.7668
United Kingdom,1887,320.442448,323.17838
United Kingdom,1888,333.16752,323.17838
United Kingdom,1889,345.024224,325.66748
United Kingdom,1890,353.022736,324.92694
United Kingdom,1891,360.471648,356.27634
United Kingdom,1892,353.00808,321.82117
United Kingdom,1893,316.210528,286.41876
United Kingdom,1894,362.102128,356.27634
United Kingdom,1895,365.549952,356.27634
United Kingdom,1896,375.98136,356.27634
United Kingdom,1897,385.969424,391.97623
United Kingdom,1898,386.878096,391.97623
United Kingdom,1899,414.552288,392.23044
United Kingdom,1900,419.740512,421.38815
United Kingdom,1901,410.701424,392.23044
United Kingdom,1902,426.639824,421.38815
United Kingdom,1903,429.985056,421.38815
United Kingdom,1904,431.992928,421.38815
United Kingdom,1905,437.672128,423.81473
United Kingdom,1906,453.350384,437.03787
United Kingdom,1907,473.568336,438.78955
United Kingdom,1908,461.964448,438.78955
United Kingdom,1909,466.086448,438.78955
United Kingdom,1910,469.732128,438.78955
United Kingdom,1911,481.350672,493.88742
United Kingdom,1912,455.885872,438.91357
United Kingdom,1913,498.32232,493.88742
United Kingdom,1914,483.182672,438.91357
United Kingdom,1915,489.481088,493.88742
United Kingdom,1916,507.071952,493.88742
United Kingdom,1917,501.169248,493.88742
United Kingdom,1918,466.84856,442.94824
United Kingdom,1919,456.13136,442.94824
United Kingdom,1920,470.75072,442.9565
United Kingdom,1921,319.804912,327.994
United Kingdom,1922,428.222672,412.14484
United Kingdom,1923,454.892928,442.9565
United Kingdom,1924,475.982912,442.9565
United Kingdom,1925,449.657072,442.9565
United Kingdom,1926,246.371024,223.35954
United Kingdom,1927,466.734976,442.9565
United Kingdom,1928,437.639702,412.14484
United Kingdom,1929,460.673784,442.9565
United Kingdom,1930,441.073652,412.14484
United Kingdom,1931,412.212451,380.547
United Kingdom,1932,395.899711,380.547
United Kingdom,1933,392.154509,380.547
United Kingdom,1934,423.20364,409.7047
United Kingdom,1935,429.106888,409.7047
United Kingdom,1936,453.795969,441.8286
United Kingdom,1937,468.130764,443.56223
United Kingdom,1938,448.939989,412.20993
United Kingdom,1939,452.456368,443.38092
United Kingdom,1940,475.143856,443.38092
United Kingdom,1941,469.651502,444.14758
United Kingdom,1942,468.899907,443.57083
United Kingdom,1943,454.820343,444.14758
United Kingdom,1944,442.024559,420.44006
United Kingdom,1945,417.624399,372.28598
United Kingdom,1946,436.12822,393.61594
United Kingdom,1947,461.269014,423.4917
United Kingdom,1948,475.563216,439.3432
United Kingdom,1949,485.108718,446.08752
United Kingdom,1950,500.792103,446.08752
United Kingdom,1951,545.252811,505.9655
United Kingdom,1952,528.706108,449.13397
United Kingdom,1953,540.21074,494.4372
United Kingdom,1954,553.009696,493.16592
United Kingdom,1955,576.951647,497.67432
United Kingdom,1956,574.323549,511.6998
United Kingdom,1957,570.714144,511.5647
United Kingdom,1958,556.315842,445.56323
United Kingdom,1959,546.606132,478.34015
United Kingdom,1960,584.020018,492.09995
United Kingdom,1961,588.614801,478.3055
United Kingdom,1962,592.931499,487.76508
United Kingdom,1963,603.385663,493.07028
United Kingdom,1964,607.865989,495.87442
United Kingdom,1965,622.111621,520.93396
United Kingdom,1966,618.074666,504.92422
United Kingdom,1967,592.057027,465.69196
United Kingdom,1968,606.488304,528.84344
United Kingdom,1969,628.382547,543.4408
United Kingdom,1970,652.577395,650.0056
United Kingdom,1971,660.388217,627.59814
United Kingdom,1972,648.026312,776.2077
United Kingdom,1973,659.577095,788.1586
United Kingdom,1974,617.183621,790.51733
United Kingdom,1975,603.247048,774.9636
United Kingdom,1976,598.525992,774.9636
United Kingdom,1977,604.361731,792.12573
United Kingdom,1978,604.713507,760.81067
United Kingdom,1979,644.512763,781.2064
United Kingdom,1980,579.035415,745.6968
United Kingdom,1981,560.554477,742.8488
United Kingdom,1982,548.240368,635.77435
United Kingdom,1983,545.485136,768.31476
United Kingdom,1984,529.108173,413.43845
United Kingdom,1985,559.627325,656.1141
United Kingdom,1986,568.553975,790.55524
United Kingdom,1987,571.667598,793.1244
United Kingdom,1988,570.293732,879.0327
United Kingdom,1989,581.5761,882.8545
United Kingdom,1990,601.945078,806.32874
United Kingdom,1991,609.412673,810.319
United Kingdom,1992,593.845922,684.8357
United Kingdom,1993,579.612537,565.96
United Kingdom,1994,574.01689,486.5865
United Kingdom,1995,566.158959,530.78125
United Kingdom,1996,586.760676,574.18787
United Kingdom,1997,562.708106,549.9061
United Kingdom,1998,568.543698,555.6432
United Kingdom,1999,561.649574,561.4529
United Kingdom,2000,569.033716,571.92926
United Kingdom,2001,577.970573,572.2781
United Kingdom,2002,560.2732,562.1272
United Kingdom,2003,571.618782,546.7915
United Kingdom,2004,573.429762,550.1009
United Kingdom,2005,570.33837,544.3396
United Kingdom,2006,567.845659,534.7123
United Kingdom,2007,559.566476,537.9559
United Kingdom,2008,544.932405,513.43225
United Kingdom,2009,494.107701,555.86053
United Kingdom,2010,511.904582,525.18524
United Kingdom,2011,469.713315,514.6743
United Kingdom,2012,487.476776,489.65103
United Kingdom,2013,477.611268,487.87918
United Kingdom,2014,438.807081,444.23456
United Kingdom,2015,422.460794,448.9876
United Kingdom,2016,399.430131,496.99472
United Kingdom,2017,387.367141,473.2222
United Kingdom,2018,379.729755,448.59918
United Kingdom,2019,364.753306,433.4591
United Kingdom,2020,326.263199,386.7322
United Kingdom,2021,346.773181,439.9599
